#Time	Energy	KE	PE	MSD(t)
0.0100	72.91	72.91	-0.00	0.000000
0.1100	72.77	72.95	-0.18	0.048618
0.2100	72.76	73.02	-0.27	0.194548
0.3100	72.76	73.16	-0.40	0.437982
0.4100	72.76	73.54	-0.77	0.779451
0.5100	72.73	73.95	-1.22	1.220943
0.6100	72.77	74.70	-1.93	1.730644
0.7100	72.77	74.44	-1.67	2.322850
0.8100	72.76	75.18	-2.43	3.017669
0.9100	72.74	76.99	-4.25	3.819254
1.0100	72.71	74.32	-1.61	4.709200
1.1100	72.73	77.86	-5.13	5.590589
1.2100	72.72	76.97	-4.25	6.559090
1.3100	72.71	77.56	-4.85	7.608515
1.4100	72.71	77.43	-4.71	8.739710
1.5100	72.71	79.07	-6.35	9.970717
1.6100	72.72	79.09	-6.37	11.309727
1.7100	72.68	76.51	-3.83	12.681705
1.8100	72.80	74.17	-1.36	13.771875
1.9100	72.76	75.37	-2.61	14.889097
2.0100	72.76	75.30	-2.53	16.136942
2.1100	72.72	78.32	-5.60	17.415330
2.2100	72.73	79.50	-6.77	18.775952
2.3100	72.72	80.08	-7.36	20.215297
2.4100	72.69	78.58	-5.90	21.639081
2.5100	72.73	77.59	-4.86	22.757964
2.6100	72.74	76.97	-4.24	23.752463
2.7100	72.73	77.86	-5.13	24.702332
2.8100	72.72	75.68	-2.96	25.504694
2.9100	72.73	78.85	-6.12	26.471508
3.0100	72.79	74.03	-1.24	27.371175
3.1100	72.74	78.08	-5.33	28.095513
3.2100	72.74	78.95	-6.21	28.548960
3.3100	72.70	78.88	-6.18	28.854469
3.4100	72.72	79.11	-6.39	29.140647
3.5100	72.74	77.78	-5.04	29.439638
3.6100	72.73	77.18	-4.45	29.477383
3.7100	72.67	76.54	-3.87	29.525927
3.8100	72.74	78.39	-5.65	29.433789
3.9100	72.75	77.15	-4.40	29.374601
4.0100	72.75	77.96	-5.21	29.228148
4.1100	72.76	77.91	-5.14	29.103265
4.2100	72.76	78.12	-5.36	29.024660
4.3100	72.75	76.11	-3.36	28.892589
4.4100	72.75	77.60	-4.85	28.713177
4.5100	72.75	77.41	-4.67	28.612374
4.6100	72.75	77.53	-4.78	28.555182
4.7100	72.75	75.79	-3.04	28.441925
4.8100	72.76	76.93	-4.18	28.415372
4.9100	72.75	76.69	-3.94	28.269227
5.0100	72.75	76.24	-3.49	27.992973
5.1100	72.75	75.54	-2.79	27.805393
5.2100	72.74	75.11	-2.37	27.681330
5.3100	72.75	74.66	-1.91	27.593382
5.4100	72.74	74.65	-1.91	27.561871
5.5100	72.75	75.29	-2.54	27.423309
5.6100	72.75	76.44	-3.69	27.321002
5.7100	72.74	75.46	-2.72	27.311938
5.8100	72.73	77.28	-4.55	27.155996
5.9100	72.73	75.80	-3.07	27.041875
6.0100	72.73	77.70	-4.98	27.024324
6.1100	72.73	77.97	-5.24	27.105583
6.2100	72.73	78.44	-5.72	27.250535
6.3100	72.71	79.88	-7.17	27.509910
6.4100	72.74	80.69	-7.95	27.675229
6.5100	72.74	80.50	-7.76	27.668200
6.6100	72.76	76.83	-4.07	27.686657
6.7100	72.74	78.82	-6.09	27.838911
6.8100	72.75	77.39	-4.64	28.058826
6.9100	72.74	76.70	-3.96	28.360008
7.0100	72.75	75.64	-2.89	28.554798
7.1100	72.74	76.15	-3.41	28.598394
7.2100	72.74	75.86	-3.12	28.640686
7.3100	72.75	75.83	-3.08	28.565571
7.4100	72.75	76.46	-3.71	28.304557
7.5100	72.78	73.86	-1.09	28.044703
7.6100	72.75	76.83	-4.08	27.586984
7.7100	72.74	76.99	-4.25	27.121039
7.8100	72.72	78.05	-5.33	26.712370
7.9100	72.71	76.71	-4.00	26.118463
8.0100	72.74	78.32	-5.58	25.618280
8.1100	72.74	78.02	-5.28	25.232922
8.2100	72.71	77.77	-5.06	24.957783
8.3100	72.72	78.14	-5.42	24.808693
8.4100	72.73	78.02	-5.29	24.808100
8.5100	72.73	77.12	-4.39	24.896304
8.6100	72.74	78.67	-5.93	25.090722
8.7100	72.72	76.45	-3.73	25.174667
8.8100	72.75	77.39	-4.64	25.180671
8.9100	72.75	76.78	-4.03	25.298286
9.0100	72.73	76.23	-3.50	25.524843
9.1100	72.74	77.44	-4.70	25.778481
9.2100	72.74	79.39	-6.65	25.754436
9.3100	72.77	78.61	-5.84	25.765209
9.4100	72.75	77.88	-5.14	25.584728
9.5100	72.75	82.34	-9.58	25.190367
9.6100	72.74	77.95	-5.21	24.704078
9.7100	72.75	80.92	-8.17	24.185617
9.8100	72.75	80.33	-7.57	23.770740
9.9100	72.76	78.31	-5.55	23.475969
