#Time	Energy	KE	PE	MSD(t)
0.0100	-90.50	53.61	-144.11	0.000000
0.1100	-90.45	34.66	-125.11	0.030900
0.2100	-90.60	37.31	-127.91	0.072911
0.3100	-90.62	38.24	-128.86	0.105360
0.4100	-90.54	40.01	-130.55	0.136221
0.5100	-90.50	39.68	-130.18	0.189656
0.6100	-90.55	42.44	-132.99	0.267709
0.7100	-90.54	37.40	-127.94	0.364034
0.8100	-90.49	38.86	-129.35	0.443147
0.9100	-90.56	37.10	-127.67	0.496210
1.0100	-90.55	33.05	-123.60	0.523495
1.1100	-90.48	36.79	-127.27	0.559419
1.2100	-90.55	36.27	-126.82	0.575666
1.3100	-90.53	36.61	-127.14	0.610495
1.4100	-90.52	37.35	-127.87	0.704644
1.5100	-90.48	36.23	-126.71	0.800311
1.6100	-90.58	35.47	-126.04	0.866292
1.7100	-90.49	35.14	-125.63	0.898924
1.8100	-90.43	34.60	-125.03	0.907300
1.9100	-90.47	36.64	-127.11	0.941451
2.0100	-90.49	34.76	-125.25	0.992490
2.1100	-90.44	35.05	-125.49	1.089943
2.2100	-90.47	37.78	-128.24	1.142241
2.3100	-90.48	35.03	-125.51	1.179378
2.4100	-90.50	38.84	-129.34	1.239779
2.5100	-90.53	36.37	-126.90	1.309052
2.6100	-90.53	38.15	-128.68	1.368406
2.7100	-90.45	39.14	-129.59	1.396776
2.8100	-90.43	31.10	-121.53	1.426969
2.9100	-90.44	32.05	-122.49	1.484474
3.0100	-90.48	37.93	-128.41	1.494263
3.1100	-90.48	34.93	-125.41	1.568151
3.2100	-90.49	37.06	-127.54	1.672340
3.3100	-90.49	32.14	-122.62	1.753319
3.4100	-90.48	31.48	-121.96	1.792817
3.5100	-90.55	35.74	-126.29	1.802610
3.6100	-90.53	36.89	-127.42	1.830583
3.7100	-90.55	36.69	-127.24	1.800670
3.8100	-90.51	33.52	-124.03	1.799057
3.9100	-90.49	36.81	-127.30	1.777355
4.0100	-90.51	36.12	-126.63	1.763887
4.1100	-90.51	32.19	-122.70	1.743476
4.2100	-90.47	32.31	-122.78	1.776841
4.3100	-90.55	39.96	-130.51	1.838673
4.4100	-90.59	36.53	-127.12	1.885392
4.5100	-90.60	35.58	-126.18	1.925965
4.6100	-90.54	37.87	-128.41	1.888423
4.7100	-90.52	36.40	-126.92	1.846300
4.8100	-90.47	31.53	-122.00	1.856342
4.9100	-90.53	39.22	-129.75	1.859547
5.0100	-90.44	31.58	-122.02	1.860905
5.1100	-90.52	40.18	-130.70	1.840018
5.2100	-90.55	38.34	-128.89	1.821268
5.3100	-90.56	32.81	-123.37	1.794356
5.4100	-90.56	38.73	-129.29	1.766367
5.5100	-90.58	35.44	-126.02	1.770600
5.6100	-90.53	34.66	-125.18	1.793009
5.7100	-90.48	35.18	-125.67	1.872313
5.8100	-90.58	32.31	-122.89	1.936329
5.9100	-90.59	37.43	-128.01	1.937120
6.0100	-90.64	34.29	-124.93	1.907147
6.1100	-90.55	36.74	-127.30	1.899397
6.2100	-90.54	33.58	-124.13	1.897678
6.3100	-90.51	35.67	-126.18	1.854964
6.4100	-90.50	36.51	-127.01	1.794536
6.5100	-90.56	38.13	-128.69	1.794892
6.6100	-90.54	33.72	-124.26	1.757845
6.7100	-90.57	31.27	-121.84	1.711108
6.8100	-90.55	36.50	-127.05	1.723235
6.9100	-90.51	35.45	-125.96	1.738519
7.0100	-90.54	39.29	-129.83	1.784966
7.1100	-90.61	36.29	-126.90	1.856795
7.2100	-90.61	39.10	-129.70	1.844388
7.3100	-90.56	40.85	-131.41	1.827457
7.4100	-90.48	37.63	-128.11	1.855414
7.5100	-90.50	34.58	-125.08	1.909077
7.6100	-90.50	37.38	-127.88	1.985134
7.7100	-90.58	36.90	-127.48	2.067601
7.8100	-90.59	35.85	-126.44	2.092089
7.9100	-90.58	37.56	-128.14	2.084611
8.0100	-90.63	37.34	-127.97	2.123314
8.1100	-90.52	34.99	-125.51	2.174933
8.2100	-90.61	41.01	-131.62	2.230555
8.3100	-90.56	36.47	-127.03	2.279965
8.4100	-90.51	37.26	-127.78	2.307428
8.5100	-90.55	35.38	-125.93	2.404207
8.6100	-90.53	31.19	-121.72	2.518480
8.7100	-90.53	39.00	-129.53	2.571130
8.8100	-90.59	38.92	-129.51	2.614957
8.9100	-90.47	29.93	-120.40	2.609606
9.0100	-90.54	33.48	-124.03	2.598640
9.1100	-90.55	36.43	-126.98	2.579525
9.2100	-90.61	36.34	-126.95	2.633737
9.3100	-90.55	43.03	-133.58	2.710486
9.4100	-90.52	33.15	-123.67	2.764056
9.5100	-90.48	35.31	-125.79	2.846362
9.6100	-90.58	40.89	-131.47	2.836105
9.7100	-90.52	38.27	-128.80	2.768325
9.8100	-90.50	39.73	-130.23	2.675501
9.9100	-90.52	37.00	-127.52	2.632621
