#Time	Energy	KE	PE	MSD(t)
0.0100	-167.80	28.10	-195.90	0.000000
0.1100	-167.62	12.89	-180.51	0.002955
0.2100	-167.54	17.92	-185.46	0.001765
0.3100	-167.56	11.78	-179.34	0.004644
0.4100	-167.58	20.96	-188.54	0.001610
0.5100	-167.48	14.87	-182.34	0.002896
0.6100	-167.42	19.07	-186.49	0.001273
0.7100	-167.34	16.07	-183.41	0.003774
0.8100	-167.40	16.98	-184.38	0.002576
0.9100	-167.34	17.09	-184.43	0.002239
1.0100	-167.22	14.19	-181.42	0.002552
1.1100	-167.24	17.61	-184.85	0.002806
1.2100	-167.23	15.88	-183.10	0.003838
1.3100	-167.25	17.59	-184.84	0.002251
1.4100	-167.29	14.45	-181.74	0.002607
1.5100	-167.33	18.43	-185.76	0.002097
1.6100	-167.34	15.22	-182.56	0.003386
1.7100	-167.31	17.21	-184.52	0.002494
1.8100	-167.28	14.76	-182.03	0.002653
1.9100	-167.24	17.08	-184.32	0.002266
2.0100	-167.25	16.49	-183.74	0.002906
2.1100	-167.23	16.31	-183.55	0.002605
2.2100	-167.19	13.87	-181.07	0.002751
2.3100	-167.27	13.66	-180.93	0.002632
2.4100	-167.28	15.75	-183.03	0.002840
2.5100	-167.20	15.47	-182.68	0.003186
2.6100	-167.24	16.45	-183.69	0.002904
2.7100	-167.18	15.33	-182.51	0.002543
2.8100	-167.24	16.13	-183.37	0.002221
2.9100	-167.26	14.82	-182.08	0.003467
3.0100	-167.24	14.96	-182.20	0.003167
3.1100	-167.28	16.14	-183.42	0.002115
3.2100	-167.32	15.14	-182.45	0.002417
3.3100	-167.36	14.44	-181.80	0.002709
3.4100	-167.30	14.65	-181.94	0.003165
3.5100	-167.34	13.95	-181.29	0.002685
3.6100	-167.32	14.50	-181.82	0.002669
3.7100	-167.39	14.12	-181.51	0.003324
3.8100	-167.37	13.47	-180.84	0.004137
3.9100	-167.38	15.59	-182.96	0.002534
4.0100	-167.47	15.02	-182.49	0.002765
4.1100	-167.44	16.18	-183.61	0.002389
4.2100	-167.33	13.47	-180.80	0.003267
4.3100	-167.31	14.55	-181.86	0.002673
4.4100	-167.36	14.70	-182.06	0.002429
4.5100	-167.30	13.44	-180.74	0.002503
4.6100	-167.29	14.03	-181.32	0.002948
4.7100	-167.34	16.17	-183.51	0.002823
4.8100	-167.38	15.30	-182.67	0.002617
4.9100	-167.42	14.47	-181.89	0.002896
5.0100	-167.46	15.21	-182.67	0.002882
5.1100	-167.48	18.55	-186.03	0.002744
5.2100	-167.43	17.42	-184.85	0.002833
5.3100	-167.46	17.18	-184.65	0.002331
5.4100	-167.41	15.44	-182.85	0.003234
5.5100	-167.47	18.81	-186.28	0.002236
5.6100	-167.49	15.74	-183.22	0.002957
5.7100	-167.31	15.20	-182.51	0.001963
5.8100	-167.37	15.05	-182.41	0.002535
5.9100	-167.40	19.73	-187.12	0.002288
6.0100	-167.35	16.95	-184.30	0.002552
6.1100	-167.44	16.37	-183.80	0.001808
6.2100	-167.41	14.48	-181.88	0.002451
6.3100	-167.43	15.70	-183.13	0.002445
6.4100	-167.38	13.93	-181.31	0.003082
6.5100	-167.36	14.99	-182.35	0.002490
6.6100	-167.40	17.30	-184.69	0.002277
6.7100	-167.31	14.21	-181.51	0.003515
6.8100	-167.37	17.27	-184.64	0.002579
6.9100	-167.34	15.33	-182.66	0.002758
7.0100	-167.26	16.18	-183.44	0.002417
7.1100	-167.31	15.44	-182.75	0.002777
7.2100	-167.26	15.83	-183.09	0.002762
7.3100	-167.22	18.85	-186.07	0.001840
7.4100	-167.19	14.62	-181.81	0.003115
7.5100	-167.10	17.01	-184.11	0.002153
7.6100	-167.09	14.20	-181.29	0.002985
7.7100	-167.16	20.10	-187.25	0.001782
7.8100	-167.11	16.21	-183.33	0.002901
7.9100	-167.10	16.76	-183.86	0.002023
8.0100	-167.09	13.04	-180.13	0.003125
8.1100	-167.18	17.15	-184.33	0.002709
8.2100	-167.23	17.32	-184.55	0.002840
8.3100	-167.14	17.08	-184.22	0.002269
8.4100	-167.08	16.35	-183.43	0.002581
8.5100	-167.05	15.50	-182.55	0.003333
8.6100	-167.05	16.00	-183.05	0.002709
8.7100	-167.03	14.79	-181.82	0.002677
8.8100	-167.02	16.09	-183.12	0.002526
8.9100	-167.03	15.47	-182.50	0.003446
9.0100	-167.05	17.98	-185.03	0.002718
9.1100	-167.01	17.03	-184.04	0.002690
9.2100	-167.00	17.17	-184.16	0.002276
9.3100	-166.99	17.87	-184.86	0.002408
9.4100	-166.97	16.05	-183.02	0.003372
9.5100	-166.92	14.97	-181.89	0.002695
9.6100	-166.93	15.20	-182.13	0.002954
9.7100	-166.93	17.31	-184.24	0.002526
9.8100	-166.84	15.73	-182.57	0.003238
9.9100	-166.81	15.09	-181.91	0.003131
