#r	RDF(r)
1.08	0.01
1.16	0.01
1.25	0.02
1.34	0.02
1.43	0.02
1.51	0.02
1.60	0.02
1.69	0.02
1.77	0.03
1.86	0.03
1.95	0.03
2.03	0.03
2.12	0.04
2.21	0.04
2.29	0.04
2.38	0.05
2.47	0.05
2.55	0.05
2.64	0.05
2.73	0.06
2.82	0.07
2.90	0.07
2.99	0.08
3.08	0.08
3.16	0.09
3.25	0.09
3.34	0.09
3.42	0.11
3.51	0.12
3.60	0.13
3.68	0.13
3.77	0.14
3.86	0.15
3.95	0.19
4.03	0.18
4.12	0.17
4.21	0.18
4.29	0.17
4.38	0.17
4.47	0.17
4.55	0.19
4.64	0.19
4.73	0.20
4.81	0.19
4.90	0.21
4.99	0.24
5.08	0.24
5.16	0.23
5.25	0.24
5.34	0.24
5.42	0.24
5.51	0.27
5.60	0.28
5.68	0.25
5.77	0.26
5.86	0.26
5.94	0.25
6.03	0.25
6.12	0.25
6.21	0.24
6.29	0.24
6.38	0.23
6.47	0.23
6.55	0.21
6.64	0.21
6.73	0.21
6.81	0.21
6.90	0.21
6.99	0.18
7.07	0.18
7.16	0.16
7.25	0.15
7.33	0.14
7.42	0.13
7.51	0.12
7.60	0.11
7.68	0.09
7.77	0.09
7.86	0.07
7.94	0.07
8.03	0.04
8.12	0.04
8.20	0.04
8.29	0.03
8.38	0.03
8.46	0.02
8.55	0.02
8.64	0.02
8.73	0.01
8.81	0.02
8.90	0.01
8.99	0.01
9.07	0.01
9.16	0.00
9.25	0.00
9.33	0.00
9.42	0.00
9.51	0.00
9.59	0.00
9.68	0.00
