#r	RDF(r)
0.05	0.29
0.05	0.86
0.05	3.08
0.05	5.81
0.05	9.38
0.05	12.13
0.05	15.24
0.05	16.67
0.05	18.39
0.06	17.40
0.06	18.19
0.06	17.31
0.06	15.88
0.06	16.03
0.06	15.39
0.06	14.97
0.06	13.39
0.06	12.57
0.06	11.69
0.07	10.81
0.07	9.93
0.07	10.99
0.07	10.66
0.07	10.35
0.07	9.87
0.07	10.83
0.07	11.36
0.07	11.47
0.08	10.55
0.08	10.04
0.08	10.83
0.08	10.72
0.08	10.99
0.08	12.44
0.08	11.65
0.08	12.07
0.08	13.90
0.08	14.78
0.09	15.55
0.09	14.89
0.09	15.19
0.09	15.61
0.09	16.21
0.09	16.38
0.09	16.43
0.09	16.34
0.09	16.76
0.10	17.31
0.10	17.18
0.10	18.28
0.10	17.90
0.10	17.84
0.10	17.68
0.10	17.02
0.10	15.88
0.10	16.60
0.10	16.63
0.11	18.59
0.11	15.97
0.11	13.45
0.11	11.10
0.11	12.22
0.11	10.81
0.11	10.09
0.11	10.39
0.11	9.01
0.11	7.60
0.12	7.27
0.12	7.20
0.12	6.23
0.12	5.81
0.12	5.29
0.12	5.13
0.12	4.71
0.12	3.68
0.12	2.91
0.13	2.77
0.13	2.82
0.13	2.38
0.13	2.18
0.13	1.87
0.13	1.74
0.13	1.81
0.13	1.34
0.13	1.32
0.13	1.23
0.14	1.26
0.14	0.68
0.14	0.90
0.14	0.95
0.14	0.77
0.14	0.31
0.14	0.40
0.14	0.22
0.14	0.20
0.15	0.24
0.15	0.13
0.15	0.04
0.15	0.09
0.15	0.22
