#r	RDF(r)
0.03	0.56
0.03	4.71
0.03	19.37
0.03	55.72
0.03	107.95
0.03	149.95
0.03	172.54
0.03	148.22
0.03	106.08
0.03	68.09
0.03	36.22
0.03	16.57
0.03	6.39
0.03	2.75
0.03	0.65
0.03	0.14
0.03	0.14
0.03	0.00
0.03	0.00
0.03	0.00
0.03	0.00
0.03	0.00
0.03	0.00
0.04	0.19
0.04	0.33
0.04	0.98
0.04	2.94
0.04	8.87
0.04	14.33
0.04	25.20
0.04	37.80
0.04	49.47
0.04	58.99
0.04	24.92
0.04	0.00
0.04	0.00
0.04	0.00
0.04	0.00
0.04	0.00
0.04	0.00
0.04	0.00
0.04	0.00
0.04	0.00
0.04	0.00
0.04	0.28
0.04	0.70
0.05	3.17
0.05	9.89
0.05	30.89
0.05	61.98
0.05	111.31
0.05	162.50
0.05	189.99
0.05	165.07
0.05	96.88
0.05	45.27
0.05	15.26
0.05	2.38
0.05	0.42
0.05	0.05
0.05	0.00
0.05	0.00
0.05	0.19
0.05	0.75
0.05	3.17
0.05	9.05
0.05	20.30
0.05	38.41
0.05	60.16
0.06	59.50
0.06	31.87
0.06	0.61
0.06	0.00
0.06	0.00
0.06	0.00
0.06	0.00
0.06	0.00
0.06	0.00
0.06	0.00
0.06	0.00
0.06	0.00
0.06	0.00
0.06	0.00
0.06	0.00
0.06	0.00
0.06	0.00
0.06	0.00
0.06	0.00
0.06	0.00
0.06	0.05
0.06	0.09
0.06	0.37
0.06	1.07
0.07	3.03
0.07	7.37
0.07	13.72
0.07	17.64
0.07	18.39
0.07	9.75
0.07	3.17
